run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
18,18,Voting,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9398084815321477,14,4,39,3
18,18,Voting,TRAIN,0.8577405857740585,0.8,0.759493670886076,0.7792207792207793,0.9301424050632912,60,15,145,19
19,19,Voting,TEST,0.8333333333333334,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.9384404924760601,10,3,40,7
19,19,Voting,TRAIN,0.8075313807531381,0.7323943661971831,0.6582278481012658,0.6933333333333334,0.8960443037974684,52,19,141,27
20,20,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9384404924760601,12,4,39,5
20,20,Voting,TRAIN,0.8451882845188284,0.7837837837837838,0.7341772151898734,0.7581699346405228,0.9265822784810127,58,16,144,21
21,21,Voting,TEST,0.8333333333333334,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.9398084815321477,12,5,38,5
21,21,Voting,TRAIN,0.8326359832635983,0.76,0.7215189873417721,0.7402597402597403,0.9199367088607595,57,18,142,22
22,22,Voting,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.9398084815321477,12,4,39,5
22,22,Voting,TRAIN,0.8535564853556485,0.782051282051282,0.7721518987341772,0.7770700636942676,0.9258702531645571,61,17,143,18
23,23,Voting,TEST,0.8333333333333334,0.7333333333333333,0.6470588235294118,0.6875,0.9411764705882353,11,4,39,6
23,23,Voting,TRAIN,0.8242677824267782,0.7283950617283951,0.7468354430379747,0.7375,0.9127373417721519,59,22,138,20
24,24,Voting,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.93296853625171,12,3,40,5
24,24,Voting,TRAIN,0.8410041841004184,0.7469879518072289,0.7848101265822784,0.7654320987654321,0.9184335443037974,62,21,139,17
25,25,Voting,TEST,0.8333333333333334,0.7333333333333333,0.6470588235294118,0.6875,0.9370725034199726,11,4,39,6
25,25,Voting,TRAIN,0.8410041841004184,0.7733333333333333,0.7341772151898734,0.7532467532467533,0.9191455696202532,58,17,143,21
26,26,Voting,TEST,0.8166666666666667,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.93296853625171,10,4,39,7
26,26,Voting,TRAIN,0.803347280334728,0.7222222222222222,0.6582278481012658,0.6887417218543046,0.9027689873417721,52,20,140,27
27,27,Voting,TEST,0.8333333333333334,0.7333333333333333,0.6470588235294118,0.6875,0.93296853625171,11,4,39,6
27,27,Voting,TRAIN,0.8661087866108786,0.8051948051948052,0.7848101265822784,0.7948717948717948,0.9250791139240506,62,15,145,17
28,28,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9411764705882353,13,4,39,4
28,28,Voting,TRAIN,0.8368200836820083,0.7631578947368421,0.7341772151898734,0.7483870967741936,0.9225474683544305,58,18,142,21
29,29,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9384404924760602,13,4,39,4
29,29,Voting,TRAIN,0.8493723849372385,0.8115942028985508,0.7088607594936709,0.7567567567567568,0.9251582278481012,56,13,147,23
30,30,Voting,TEST,0.8166666666666667,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.935704514363885,10,4,39,7
30,30,Voting,TRAIN,0.8158995815899581,0.7397260273972602,0.6835443037974683,0.7105263157894737,0.9003955696202531,54,19,141,25
